antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Fabric Softener'}),frozenset({'Dishwash Liquid'}),0.0839355197331851,0.07281823235130629,0.05225125069483046,0.6225165562913908,8.54891057074971,1.0,0.046139214516371735,2.4562183669289963,0.9639343627349721,0.5000000000000001,0.5928700748010863,0.6700369040998939
frozenset({'Dishwash Liquid'}),frozenset({'Fabric Softener'}),0.07281823235130629,0.0839355197331851,0.05225125069483046,0.7175572519083969,8.54891057074971,1.0,0.046139214516371735,3.243363430133858,0.9523763967549365,0.5000000000000001,0.6916780923441784,0.6700369040998939
frozenset({'Nachos'}),frozenset({'Salsa Dip'}),0.07504168982768204,0.09727626459143969,0.057809894385769875,0.7703703703703705,7.919407407407409,1.0,0.05051011911070353,3.9312162671017967,0.9446133043639053,0.5048543689320388,0.7456257982120053,0.6823280423280425
frozenset({'Salsa Dip'}),frozenset({'Nachos'}),0.09727626459143969,0.07504168982768204,0.057809894385769875,0.5942857142857143,7.919407407407408,1.0,0.05051011911070353,2.279826820847263,0.9678796419098143,0.5048543689320388,0.5613701923076924,0.6823280423280425
frozenset({'Salsa Dip'}),frozenset({'Potato Chips'}),0.09727626459143969,0.0744858254585881,0.054474708171206226,0.56,7.518208955223882,1.0,0.04722900530558481,2.1034413057759367,0.9604152005629837,0.46445497630331756,0.5245885885885886,0.6456716417910449
frozenset({'Potato Chips'}),frozenset({'Salsa Dip'}),0.0744858254585881,0.09727626459143969,0.054474708171206226,0.7313432835820896,7.518208955223881,1.0,0.04722900530558481,3.3601383484651968,0.9367653367653366,0.46445497630331756,0.7023932063818837,0.6456716417910449
frozenset({'Chocolate Spread'}),"frozenset({'Bread Loaf', 'Butter'})",0.12006670372429128,0.05892162312395775,0.05113952195664258,0.42592592592592593,7.228686233403215,1.0,0.04406499689006399,1.6392978177840736,0.9792359032107445,0.4,0.3899827175078209,0.6469252271139063
"frozenset({'Bread Loaf', 'Butter'})",frozenset({'Chocolate Spread'}),0.05892162312395775,0.12006670372429128,0.05113952195664258,0.8679245283018868,7.228686233403215,1.0,0.04406499689006399,6.662352100373225,0.9156115976270576,0.4,0.8499028593904576,0.6469252271139063
frozenset({'Butter'}),frozenset({'Chocolate Spread'}),0.09838799332962757,0.12006670372429128,0.0811561978877154,0.824858757062147,6.870004184975937,1.0,0.06934307584257945,5.024135272283887,0.9476800162153944,0.5910931174089069,0.8009607731868619,0.7503923414940364
frozenset({'Chocolate Spread'}),frozenset({'Butter'}),0.12006670372429128,0.09838799332962757,0.0811561978877154,0.6759259259259259,6.870004184975937,1.0,0.06934307584257945,2.782117049154292,0.9710277866717434,0.5910931174089069,0.640561492441887,0.7503923414940364
frozenset({'Bread Loaf'}),frozenset({'Chocolate Spread'}),0.09449694274596998,0.12006670372429128,0.07782101167315175,0.823529411764706,6.858932461873639,1.0,0.06647507524562006,4.986288678895685,0.9433482416907831,0.5691056910569106,0.7994500390175022,0.735838779956427
frozenset({'Chocolate Spread'}),frozenset({'Bread Loaf'}),0.12006670372429128,0.09449694274596998,0.07782101167315175,0.6481481481481481,6.858932461873638,1.0,0.06647507524562006,2.573535004827243,0.9707607616641097,0.5691056910569106,0.6114294159106928,0.735838779956427
"frozenset({'Chocolate Spread', 'Bread Loaf'})",frozenset({'Butter'}),0.07782101167315175,0.09838799332962757,0.05113952195664258,0.6571428571428571,6.67909604519774,1.0,0.04348286877923965,2.6297016861219196,0.9220326545587965,0.40888888888888886,0.6197287299630087,0.5884584342211461
frozenset({'Butter'}),"frozenset({'Chocolate Spread', 'Bread Loaf'})",0.09838799332962757,0.07782101167315175,0.05113952195664258,0.519774011299435,6.67909604519774,1.0,0.04348286877923965,1.9203021286335547,0.943065458639361,0.40888888888888886,0.479248611409092,0.5884584342211461
"frozenset({'Chocolate Spread', 'Butter'})",frozenset({'Bread Loaf'}),0.0811561978877154,0.09449694274596998,0.05113952195664258,0.6301369863013698,6.668331990330379,1.0,0.043470509371366525,2.4482119696127476,0.9251163891738342,0.41071428571428575,0.5915386361916294,0.5856567284448025
frozenset({'Bread Loaf'}),"frozenset({'Chocolate Spread', 'Butter'})",0.09449694274596998,0.0811561978877154,0.05113952195664258,0.5411764705882353,6.668331990330378,1.0,0.043470509371366525,2.002608286654979,0.9387460965649771,0.41071428571428575,0.5006512223764279,0.5856567284448025
frozenset({'Butter'}),frozenset({'Bread Loaf'}),0.09838799332962757,0.09449694274596998,0.05892162312395775,0.5988700564971752,6.337454303755401,1.0,0.04962425855139706,2.257380861041737,0.9341134867273108,0.43983402489626566,0.5570087364262849,0.6111997341309405
frozenset({'Bread Loaf'}),frozenset({'Butter'}),0.09449694274596998,0.09838799332962757,0.05892162312395775,0.6235294117647059,6.3374543037554005,1.0,0.04962425855139706,2.394906892718177,0.9300994938438907,0.43983402489626566,0.5824472329005586,0.6111997341309405
frozenset({'Instant Coffee'}),frozenset({'French Press'}),0.09616453585325181,0.1000555864369094,0.05725403001667593,0.5953757225433526,5.950449582530507,1.0,0.04763223098744562,2.2241483363773527,0.9204611949032112,0.41199999999999987,0.5503897003431076,0.5837989723827874
frozenset({'French Press'}),frozenset({'Instant Coffee'}),0.1000555864369094,0.09616453585325181,0.05725403001667593,0.5722222222222222,5.950449582530506,1.0,0.04763223098744562,2.1128621239794114,0.9244409530034721,0.41199999999999987,0.5267083504168375,0.5837989723827874
frozenset({'Coffee Beans'}),frozenset({'French Press'}),0.1000555864369094,0.1000555864369094,0.057809894385769875,0.5777777777777777,5.774567901234567,1.0,0.04779877400853603,2.1314472952810037,0.9187532664987884,0.40625000000000006,0.5308352206437443,0.5777777777777777
frozenset({'French Press'}),frozenset({'Coffee Beans'}),0.1000555864369094,0.1000555864369094,0.057809894385769875,0.5777777777777777,5.774567901234567,1.0,0.04779877400853603,2.1314472952810037,0.9187532664987884,0.40625000000000006,0.5308352206437443,0.5777777777777777
frozenset({'Coffee Beans'}),frozenset({'Instant Coffee'}),0.1000555864369094,0.09616453585325181,0.054474708171206226,0.5444444444444444,5.661592806679511,1.0,0.044852909141975913,1.9840290676392032,0.9149134638413733,0.38431372549019605,0.4959751264179308,0.5554592164418753
frozenset({'Instant Coffee'}),frozenset({'Coffee Beans'}),0.09616453585325181,0.1000555864369094,0.054474708171206226,0.5664739884393063,5.661592806679511,1.0,0.044852909141975913,2.0758717806188622,0.9109747219921178,0.38431372549019605,0.5182746789390439,0.5554592164418753
frozenset({'French Press'}),frozenset({'Granola Bar'}),0.1000555864369094,0.14396887159533073,0.0528071150639244,0.5277777777777778,3.6659159159159165,1.0,0.03840222518779348,1.8127718013275351,0.808068658366113,0.2761627906976744,0.44835858585858585,0.4472865722865723
